Open,High,Low,Close
3333.5,3347.8,3331.7,3331.7
3346.8,3346.8,3335.9,3336.0
3346.8,3356.0,3328.9,3335.2
3358.8,3363.4,3358.7,3358.7
3356.2,3356.2,3330.1,3348.9
3383.9,3383.9,3349.2,3353.1
3438.8,3477.0,3402.5,3439.1
3384.9,3422.9,3384.9,3400.3
3380.7,3383.3,3361.3,3380.0
3378.5,3387.2,3351.2,3381.9
3367.6,3386.5,3347.4,3374.4
3286.2,3360.6,3281.0,3347.7
3272.9,3312.0,3272.9,3293.2
3325.8,3331.8,3263.9,3295.8
3323.4,3323.4,3323.4,3323.4
3326.6,3326.8,3309.1,3309.1
3344.0,3345.0,3326.5,3334.0
3367.0,3371.0,3367.0,3371.0
3430.3,3433.9,3388.1,3394.1
3411.0,3441.0,3395.6,3439.2
3350.3,3411.7,3350.3,3401.9
3338.2,3353.0,3338.2,3353.0
3313.8,3340.8,3313.8,3340.1
3341.2,3352.9,3329.5,3352.5
3341.0,3341.0,3329.8,3329.8
3367.0,3375.5,3350.0,3351.5
3330.5,3370.0,3330.5,3356.0
3323.6,3330.5,3311.6,3317.4
3289.4,3314.0,3282.0,3311.6
3330.4,3334.5,3287.6,3307.0
3305.5,3333.3,3299.2,3332.2
3342.0,3342.0,3332.5,3332.5
3362.0,3362.0,3322.3,3331.6
3329.0,3357.5,3329.0,3348.0
3310.1,3354.1,3310.1,3336.7
3265.9,3306.9,3262.0,3294.4
3318.7,3318.7,3253.8,3273.7
3332.4,3333.5,3332.4,3333.5
3321.6,3331.2,3310.6,3327.1
3358.0,3358.0,3301.0,3317.4
3365.9,3387.9,3350.0,3377.7
3350.0,3372.9,3341.0,3368.1
3385.3,3391.9,3365.1,3389.8
3398.3,3398.3,3376.1,3386.6
3442.0,3442.0,3385.4,3396.4
3407.3,3444.0,3407.3,3431.2
3363.0,3395.9,3353.4,3380.9
3328.0,3356.0,3321.3,3321.3
3302.0,3344.3,3302.0,3320.9
3315.6,3334.6,3290.0,3332.1
3364.3,3364.3,3306.0,3322.7
3371.5,3400.0,3343.7,3350.7
3355.0,3380.0,3344.0,3373.5
3385.1,3390.0,3331.3,3350.2
3296.9,3380.8,3296.9,3370.6
3315.1,3318.0,3270.9,3288.9
3283.7,3328.8,3242.4,3317.1
3293.6,3293.6,3293.6,3293.6
3332.5,3341.0,3296.3,3299.1
3328.0,3363.6,3323.5,3363.6
3327.3,3328.0,3282.7,3292.3
3293.4,3317.5,3290.2,3309.3
